,optimum,Availability,dataset,theta
0,8,0-shot,sqlstorm,0.0
1,0,0-shot,sqlstorm,0.0
2,53,0-shot,sqlstorm,0.0
3,36,0-shot,sqlstorm,0.0
4,36,0-shot,sqlstorm,0.0
5,0,0-shot,sqlstorm,0.0
6,0,0-shot,sqlstorm,0.0
7,8,0-shot,sqlstorm,0.0
8,0,0-shot,sqlstorm,0.0
9,2,0-shot,sqlstorm,0.0
10,25,0-shot,sqlstorm,0.0
11,25,0-shot,sqlstorm,0.0
12,0,0-shot,sqlstorm,0.0
13,8,0-shot,sqlstorm,0.0
14,0,0-shot,sqlstorm,0.0
15,2,0-shot,sqlstorm,0.0
16,53,0-shot,sqlstorm,0.0
17,33,0-shot,sqlstorm,0.0
18,35,0-shot,sqlstorm,0.0
19,2,0-shot,sqlstorm,0.0
20,0,0-shot,sqlstorm,0.0
21,8,0-shot,sqlstorm,0.0
22,53,0-shot,sqlstorm,0.0
23,0,0-shot,sqlstorm,0.0
24,25,0-shot,sqlstorm,0.0
25,34,0-shot,sqlstorm,0.0
26,16,0-shot,sqlstorm,0.0
27,25,0-shot,sqlstorm,0.0
28,35,0-shot,sqlstorm,0.0
29,0,0-shot,sqlstorm,0.0
30,8,0-shot,sqlstorm,0.0
31,0,0-shot,sqlstorm,0.0
32,2,0-shot,sqlstorm,0.0
33,53,0-shot,sqlstorm,0.0
34,37,0-shot,sqlstorm,0.0
35,35,0-shot,sqlstorm,0.0
36,34,0-shot,sqlstorm,0.0
37,8,0-shot,sqlstorm,0.0
38,0,0-shot,sqlstorm,0.0
39,2,0-shot,sqlstorm,0.0
40,2,0-shot,sqlstorm,0.0
41,53,0-shot,sqlstorm,0.0
42,37,0-shot,sqlstorm,0.0
43,36,0-shot,sqlstorm,0.0
44,36,0-shot,sqlstorm,0.0
45,36,0-shot,sqlstorm,0.0
46,2,0-shot,sqlstorm,0.0
47,0,0-shot,sqlstorm,0.0
48,53,0-shot,sqlstorm,0.0
49,0,0-shot,sqlstorm,0.0
50,1,0-shot,sqlstorm,0.0
51,3,0-shot,sqlstorm,0.0
52,31,0-shot,sqlstorm,0.0
53,8,0-shot,sqlstorm,0.0
54,0,0-shot,sqlstorm,0.0
55,2,0-shot,sqlstorm,0.0
56,0,0-shot,sqlstorm,0.0
57,2,0-shot,sqlstorm,0.0
58,36,0-shot,sqlstorm,0.0
59,35,0-shot,sqlstorm,0.0
60,36,0-shot,sqlstorm,0.0
61,35,0-shot,sqlstorm,0.0
62,35,0-shot,sqlstorm,0.0
63,8,0-shot,sqlstorm,0.0
64,53,0-shot,sqlstorm,0.0
65,0,0-shot,sqlstorm,0.0
66,2,0-shot,sqlstorm,0.0
67,0,0-shot,sqlstorm,0.0
68,53,0-shot,sqlstorm,0.0
69,25,0-shot,sqlstorm,0.0
70,50,0-shot,sqlstorm,0.0
71,34,0-shot,sqlstorm,0.0
72,10,0-shot,sqlstorm,0.0
73,17,0-shot,sqlstorm,0.0
74,2,0-shot,sqlstorm,0.0
75,0,0-shot,sqlstorm,0.0
76,53,0-shot,sqlstorm,0.0
77,0,0-shot,sqlstorm,0.0
78,8,0-shot,sqlstorm,0.0
79,0,0-shot,sqlstorm,0.0
80,34,0-shot,sqlstorm,0.0
81,0,0-shot,sqlstorm,0.0
82,2,0-shot,sqlstorm,0.0
83,8,0-shot,sqlstorm,0.0
84,0,0-shot,sqlstorm,0.0
85,2,0-shot,sqlstorm,0.0
86,53,0-shot,sqlstorm,0.0
87,35,0-shot,sqlstorm,0.0
88,36,0-shot,sqlstorm,0.0
89,34,0-shot,sqlstorm,0.0
90,36,0-shot,sqlstorm,0.0
91,0,0-shot,sqlstorm,0.0
92,0,0-shot,sqlstorm,0.0
93,32,0-shot,sqlstorm,0.0
94,53,0-shot,sqlstorm,0.0
95,53,0-shot,sqlstorm,0.0
96,35,0-shot,sqlstorm,0.0
97,34,0-shot,sqlstorm,0.0
98,35,0-shot,sqlstorm,0.0
99,31,0-shot,sqlstorm,0.0
100,35,0-shot,sqlstorm,0.0
101,53,0-shot,sqlstorm,0.0
102,53,0-shot,sqlstorm,0.0
103,53,0-shot,sqlstorm,0.0
104,36,0-shot,sqlstorm,0.0
105,35,0-shot,sqlstorm,0.0
106,35,0-shot,sqlstorm,0.0
107,33,0-shot,sqlstorm,0.0
108,0,0-shot,sqlstorm,0.0
109,8,0-shot,sqlstorm,0.0
110,0,0-shot,sqlstorm,0.0
111,53,0-shot,sqlstorm,0.0
112,0,0-shot,sqlstorm,0.0
113,53,0-shot,sqlstorm,0.0
114,0,0-shot,sqlstorm,0.0
115,8,0-shot,sqlstorm,0.0
116,0,0-shot,sqlstorm,0.0
117,0,0-shot,sqlstorm,0.0
118,0,0-shot,sqlstorm,0.0
119,0,0-shot,sqlstorm,0.0
120,53,0-shot,sqlstorm,0.0
121,53,0-shot,sqlstorm,0.0
122,8,0-shot,sqlstorm,0.0
123,14,0-shot,sqlstorm,0.0
124,53,0-shot,sqlstorm,0.0
125,8,0-shot,sqlstorm,0.0
126,53,0-shot,sqlstorm,0.0
127,42,0-shot,sqlstorm,0.0
128,41,0-shot,sqlstorm,0.0
129,0,0-shot,sqlstorm,0.0
130,35,0-shot,sqlstorm,0.0
131,53,0-shot,sqlstorm,0.0
132,8,0-shot,sqlstorm,0.0
133,2,0-shot,sqlstorm,0.0
134,0,0-shot,sqlstorm,0.0
135,0,0-shot,sqlstorm,0.0
136,35,0-shot,sqlstorm,0.0
137,35,0-shot,sqlstorm,0.0
138,41,0-shot,sqlstorm,0.0
139,35,0-shot,sqlstorm,0.0
140,0,0-shot,sqlstorm,0.0
141,8,0-shot,sqlstorm,0.0
142,0,0-shot,sqlstorm,0.0
143,0,0-shot,sqlstorm,0.0
144,0,0-shot,sqlstorm,0.0
145,53,0-shot,sqlstorm,0.0
146,14,0-shot,sqlstorm,0.0
147,0,0-shot,sqlstorm,0.0
148,36,0-shot,sqlstorm,0.0
149,25,0-shot,sqlstorm,0.0
150,41,0-shot,sqlstorm,0.0
151,0,0-shot,sqlstorm,0.0
152,8,0-shot,sqlstorm,0.0
153,0,0-shot,sqlstorm,0.0
154,2,0-shot,sqlstorm,0.0
155,0,0-shot,sqlstorm,0.0
156,53,0-shot,sqlstorm,0.0
157,31,0-shot,sqlstorm,0.0
158,25,0-shot,sqlstorm,0.0
159,35,0-shot,sqlstorm,0.0
160,0,0-shot,sqlstorm,0.0
161,0,0-shot,sqlstorm,0.0
162,0,0-shot,sqlstorm,0.0
163,0,0-shot,sqlstorm,0.0
164,0,0-shot,sqlstorm,0.0
165,0,0-shot,sqlstorm,0.0
166,14,0-shot,sqlstorm,0.0
167,53,0-shot,sqlstorm,0.0
168,0,0-shot,sqlstorm,0.0
169,0,0-shot,sqlstorm,0.0
170,0,0-shot,sqlstorm,0.0
171,14,0-shot,sqlstorm,0.0
172,0,0-shot,sqlstorm,0.0
173,34,0-shot,sqlstorm,0.0
174,0,0-shot,sqlstorm,0.0
175,0,0-shot,sqlstorm,0.0
176,0,0-shot,sqlstorm,0.0
177,53,0-shot,sqlstorm,0.0
178,13,0-shot,sqlstorm,0.0
179,8,0-shot,sqlstorm,0.0
180,8,0-shot,sqlstorm,0.0
181,0,0-shot,sqlstorm,0.0
182,0,0-shot,sqlstorm,0.0
183,53,0-shot,sqlstorm,0.0
184,53,0-shot,sqlstorm,0.0
185,0,0-shot,sqlstorm,0.0
186,25,0-shot,sqlstorm,0.0
