Perf.,Cost,Query,Type
73306,4721557,88,ONLINE/THETA-0.0
12830,500673,90,ONLINE/THETA-0.0
13421,646499,01,ONLINE/THETA-0.0
29451,410019,02,ONLINE/THETA-0.0
13848,423293,63,ONLINE/THETA-0.0
54192,1687516,64,ONLINE/THETA-0.0
23512,1670803,65,ONLINE/THETA-0.0
27584,854340,66,ONLINE/THETA-0.0
45360,2070771,67,ONLINE/THETA-0.0
11966,528223,03,ONLINE/THETA-0.0
67108,6476707,04,ONLINE/THETA-0.0
25719,2257399,05,ONLINE/THETA-0.0
16444,671999,06,ONLINE/THETA-0.0
22100,995276,07,ONLINE/THETA-0.0
11799,429349,08,ONLINE/THETA-0.0
25234,2409500,09,ONLINE/THETA-0.0
17301,1256495,10,ONLINE/THETA-0.0
41509,3625991,11,ONLINE/THETA-0.0
16218,849801,12,ONLINE/THETA-0.0
13268,449032,13,ONLINE/THETA-0.0
109954,6705714,14a,ONLINE/THETA-0.0
33681,1795976,69,ONLINE/THETA-0.0
33237,1681379,70,ONLINE/THETA-0.0
27813,1694160,71,ONLINE/THETA-0.0
13031,459301,73,ONLINE/THETA-0.0
34208,2522531,74,ONLINE/THETA-0.0
79287,4229379,75,ONLINE/THETA-0.0
17934,1262468,76,ONLINE/THETA-0.0
21886,1659560,77,ONLINE/THETA-0.0
52805,4765961,78,ONLINE/THETA-0.0
19085,776934,79,ONLINE/THETA-0.0
30907,2261951,80,ONLINE/THETA-0.0
13977,660074,81,ONLINE/THETA-0.0
9142,307416,82,ONLINE/THETA-0.0
19015,1369214,83,ONLINE/THETA-0.0
9129,191301,84,ONLINE/THETA-0.0
13283,540695,85,ONLINE/THETA-0.0
7693,258584,86,ONLINE/THETA-0.0
18647,1221818,87,ONLINE/THETA-0.0
15347,566056,89,ONLINE/THETA-0.0
13030,284045,91,ONLINE/THETA-0.0
8375,324342,92,ONLINE/THETA-0.0
21336,754265,93,ONLINE/THETA-0.0
17481,789802,94,ONLINE/THETA-0.0
11274,213058,96,ONLINE/THETA-0.0
15790,962562,97,ONLINE/THETA-0.0
17309,807548,98,ONLINE/THETA-0.0
