Perf.,Cost,Query,Type
32162,829685,25456,ONLINE/THETA-0.0
6792,85235,25686,ONLINE/THETA-0.0
11495,439084,25906,ONLINE/THETA-0.0
12391,380472,26209,ONLINE/THETA-0.0
12821,448248,27434,ONLINE/THETA-0.0
13653,467073,27479,ONLINE/THETA-0.0
4986,153281,27657,ONLINE/THETA-0.0
9114,188555,28943,ONLINE/THETA-0.0
19818,851812,29145,ONLINE/THETA-0.0
5572,126855,29345,ONLINE/THETA-0.0
7370,46789,29509,ONLINE/THETA-0.0
15386,664760,29583,ONLINE/THETA-0.0
32818,1825335,3046,ONLINE/THETA-0.0
178314,1416380,3053,ONLINE/THETA-0.0
3907,136893,3066,ONLINE/THETA-0.0
7096,435919,3100,ONLINE/THETA-0.0
95713,3801013,3158,ONLINE/THETA-0.0
27071,1106810,3177,ONLINE/THETA-0.0
29911,597961,3196,ONLINE/THETA-0.0
21881,314853,3201,ONLINE/THETA-0.0
8162,287831,3279,ONLINE/THETA-0.0
18961,1001067,3349,ONLINE/THETA-0.0
17128,695474,3383,ONLINE/THETA-0.0
8582,239795,3384,ONLINE/THETA-0.0
15105,517519,3387,ONLINE/THETA-0.0
17352,767936,3407,ONLINE/THETA-0.0
6058,146888,4667,ONLINE/THETA-0.0
660,0,5165,ONLINE/THETA-0.0
5469,187129,5222,ONLINE/THETA-0.0
1416,0,5520,ONLINE/THETA-0.0
17826,667024,7618,ONLINE/THETA-0.0
15249,682754,9055,ONLINE/THETA-0.0
12551,463056,9635,ONLINE/THETA-0.0
19566,429813,10053,ONLINE/THETA-0.0
22754,590774,10152,ONLINE/THETA-0.0
23117,653635,10182,ONLINE/THETA-0.0
26662,768840,10371,ONLINE/THETA-0.0
30693,917803,11037,ONLINE/THETA-0.0
27803,802296,11062,ONLINE/THETA-0.0
403,6669,11842,ONLINE/THETA-0.0
22575,575260,11896,ONLINE/THETA-0.0
26595,779704,12302,ONLINE/THETA-0.0
3307,51297,12363,ONLINE/THETA-0.0
22125,621545,13154,ONLINE/THETA-0.0
6917,225685,13206,ONLINE/THETA-0.0
11755,370353,13218,ONLINE/THETA-0.0
27379,846070,13768,ONLINE/THETA-0.0
22005,576594,14206,ONLINE/THETA-0.0
9510,358624,14658,ONLINE/THETA-0.0
21803,624265,14757,ONLINE/THETA-0.0
22592,598698,16000,ONLINE/THETA-0.0
17868,343556,20676,ONLINE/THETA-0.0
22750,1451264,22052,ONLINE/THETA-0.0
6150,206949,22740,ONLINE/THETA-0.0
19111,713633,22931,ONLINE/THETA-0.0
28549,694750,23239,ONLINE/THETA-0.0
3504,17322,25216,ONLINE/THETA-0.0
25254,949379,3,ONLINE/THETA-0.0
14863,336048,25,ONLINE/THETA-0.0
19399,654153,29,ONLINE/THETA-0.0
20398,995797,283,ONLINE/THETA-0.0
13047,773296,531,ONLINE/THETA-0.0
8007,150029,25,ONLINE/THETA-0.0
15259,465819,29,ONLINE/THETA-0.0
76816,992526,296,ONLINE/THETA-0.0
17033,912323,355,ONLINE/THETA-0.0
17314,432940,377,ONLINE/THETA-0.0
15360,706227,387,ONLINE/THETA-0.0
17392,815362,406,ONLINE/THETA-0.0
18847,447245,423,ONLINE/THETA-0.0
10119,291577,429,ONLINE/THETA-0.0
26340,1129183,523,ONLINE/THETA-0.0
9647,371095,557,ONLINE/THETA-0.0
14458,602253,657,ONLINE/THETA-0.0
30742,1339221,641,ONLINE/THETA-0.0
9525,493439,726,ONLINE/THETA-0.0
31950,561207,749,ONLINE/THETA-0.0
11073,520661,832,ONLINE/THETA-0.0
11783,257544,843,ONLINE/THETA-0.0
4502,119841,1065,ONLINE/THETA-0.0
14957,650500,1142,ONLINE/THETA-0.0
15742,711240,1204,ONLINE/THETA-0.0
18900,1007374,1223,ONLINE/THETA-0.0
10496,401073,1282,ONLINE/THETA-0.0
86538,3088394,1296,ONLINE/THETA-0.0
5877,169396,1501,ONLINE/THETA-0.0
6969,231345,1517,ONLINE/THETA-0.0
11165,629484,1645,ONLINE/THETA-0.0
8445,437374,1650,ONLINE/THETA-0.0
45273,855322,2026,ONLINE/THETA-0.0
29563,874942,2107,ONLINE/THETA-0.0
11083,458703,2057,ONLINE/THETA-0.0
40225,120592,2103,ONLINE/THETA-0.0
18693,566490,2112,ONLINE/THETA-0.0
37835,1145071,2179,ONLINE/THETA-0.0
41321,910406,3020,ONLINE/THETA-0.0
26147,1116180,3,ONLINE/THETA-0.0
13211,261186,25,ONLINE/THETA-0.0
46520,486748,29,ONLINE/THETA-0.0
21148,1057630,283,ONLINE/THETA-0.0
15912,845931,531,ONLINE/THETA-0.0
7305,146419,25,ONLINE/THETA-0.0
12462,437384,29,ONLINE/THETA-0.0
77445,869795,296,ONLINE/THETA-0.0
18919,1063825,355,ONLINE/THETA-0.0
17525,478159,377,ONLINE/THETA-0.0
15666,628187,387,ONLINE/THETA-0.0
18072,884073,406,ONLINE/THETA-0.0
18671,476491,423,ONLINE/THETA-0.0
9436,317485,429,ONLINE/THETA-0.0
25701,1099827,523,ONLINE/THETA-0.0
11536,507969,557,ONLINE/THETA-0.0
13713,493514,657,ONLINE/THETA-0.0
30916,1367144,641,ONLINE/THETA-0.0
10382,549964,726,ONLINE/THETA-0.0
35213,595913,749,ONLINE/THETA-0.0
14145,613178,832,ONLINE/THETA-0.0
12161,276843,843,ONLINE/THETA-0.0
4330,135226,1065,ONLINE/THETA-0.0
10349,434653,1142,ONLINE/THETA-0.0
16458,731502,1204,ONLINE/THETA-0.0
19124,1051223,1223,ONLINE/THETA-0.0
10130,415801,1282,ONLINE/THETA-0.0
85196,2962833,1296,ONLINE/THETA-0.0
5746,170614,1501,ONLINE/THETA-0.0
7001,239252,1517,ONLINE/THETA-0.0
12006,648146,1645,ONLINE/THETA-0.0
8562,448839,1650,ONLINE/THETA-0.0
21278,1004030,2026,ONLINE/THETA-0.0
27844,849657,2107,ONLINE/THETA-0.0
10520,473015,2057,ONLINE/THETA-0.0
3405,86030,2103,ONLINE/THETA-0.0
16666,513934,2112,ONLINE/THETA-0.0
34191,974671,2179,ONLINE/THETA-0.0
34650,767868,3020,ONLINE/THETA-0.0
31192,1747789,3046,ONLINE/THETA-0.0
176050,1319192,3053,ONLINE/THETA-0.0
5168,152006,3066,ONLINE/THETA-0.0
7826,267960,3100,ONLINE/THETA-0.0
95422,3737478,3158,ONLINE/THETA-0.0
26756,1058435,3177,ONLINE/THETA-0.0
27611,519538,3196,ONLINE/THETA-0.0
37254,246420,3201,ONLINE/THETA-0.0
9791,447058,3279,ONLINE/THETA-0.0
21476,1233364,3349,ONLINE/THETA-0.0
46063,648390,3383,ONLINE/THETA-0.0
9866,337017,3384,ONLINE/THETA-0.0
16565,519424,3387,ONLINE/THETA-0.0
20658,933107,3407,ONLINE/THETA-0.0
6384,180153,4667,ONLINE/THETA-0.0
951,0,5165,ONLINE/THETA-0.0
7389,252870,5222,ONLINE/THETA-0.0
1702,0,5520,ONLINE/THETA-0.0
19835,744013,7618,ONLINE/THETA-0.0
14632,580959,9055,ONLINE/THETA-0.0
11808,446313,9635,ONLINE/THETA-0.0
15925,321345,10053,ONLINE/THETA-0.0
22698,607599,10152,ONLINE/THETA-0.0
